Bundle ID,Silent Grant Count
net.whatsapp.WhatsApp,13
ph.telegra.Telegraph,10
com.apple.mobilesafari,9
com.google.Drive,7
com.openai.chat,7
com.apple.mobilenotes,6
com.apple.Passbook,6
com.apple.Preferences,6
com.apple.AccessibilityUIServer,6
com.apple.mobilephone,6
